LAT,LON,ALT,NAM,IKO,NA3,USE,USEdesc
42.436111,12.063333,306,Viterbo,LIRV,IT93136,8,Military
42.431389,14.184167,14,Pescara,LIBP,IT07263,49,Civilian/Public
42.388611,1.863611,1093,La Cerdana,LECD,SP93164,999,Other
42.366669,13.3,670,L Aquila Preturo,LIAP,IT93149,999,Other
42.34222,1.411389,800,Seo De Urgel,LESU,SP74344,999,Other
42.29361,9.193056,345,Corte,LFKT,FR04557,999,Other
41.993057,12.738333,88,Guidonia,LIRG,IT84831,8,Military
41.951942,12.498889,16,Roma Urbe,LIRU,IT93095,49,Civilian/Public
41.924442,9.406111,7,Solenzara,LFKS,FR55736,8,Military
41.923611,8.803056,4,Campo Dell Oro,LFKJ,FR94761,49,Civilian/Public
41.90097,2.760547,142,Girona,LEGE,SP10365,49,Civilian/Public
41.8125,12.2525,4,Fiumicino,LIRF,IT04966,49,Civilian/Public
41.799362,12.594936,129,Ciampino,LIRA,IT20955,22,Joint Military/Civilian
41.663055,8.890278,3,Tavaria,LFKO,FR31236,999,Other
41.653805,12.444472,12,Pratica Di Mare,LIRE,IT49301,8,Military
41.543057,12.909444,28,Latina,LIRL,IT84360,8,Military
41.500557,9.097778,26,Sud Corse,LFKF,FR48233,999,Other
41.297077,2.078464,3,Barcelona,LEBL,SP46124,49,Civilian/Public
41.147392,1.167172,71,Reus,LERS,SP32108,49,Civilian/Public
41.055557,14.08139,8,Grazzanise,LIRM,IT45105,8,Military
40.898609,9.517778,11,Olbia Costa Smeralda,LIEO,IT28184,49,Civilian/Public
40.886082,14.29075,90,Capodichino,LIRN,IT71626,22,Joint Military/Civilian
40.632221,8.290833,26,Alghero,LIEA,IT78899,22,Joint Military/Civilian
40.620277,14.912778,39,Pontecagnano,LIRI,IT93139,999,Other
39.917778,9.687779,6,Tortoli,LIET,IT82661,49,Civilian/Public
39.862598,4.218647,90,Menorca,LEMH,SP23101,49,Civilian/Public
39.862221,4.258333,60,San Luis,LESL,SP99275,999,Other
39.599445,2.703333,41,Son Bonet,LESB,SP47433,999,Other
39.551674,2.738808,9,Palma De Mallorca,LESJ,SP50708,22,Joint Military/Civilian
39.354221,8.972472,30,Decimomannu,LIED,IT07616,8,Military
39.250557,9.054722,3,Elmas,LIEE,IT52422,22,Joint Military/Civilian
38.872856,1.373117,7,Ibiza,LEIB,SP84983,49,Civilian/Public
38.173889,13.091111,19,Palermo,LICJ,IT14341,49,Civilian/Public
38.116112,13.315278,105,Boccadifalco,LICP,IT93152,999,Other
37.912609,12.488278,7,Trapani Birgi,LICT,IT17889,8,Military
37.401669,14.922333,24,Sigonella,LICZ,IT19831,8,Military
37.245556,9.791389,6,Sidi Ahmed Air Base,DTTB,TS29428,8,Military
36.98,8.876944,50,Tabarka 7 Novembre,DTKA,TS92345,999,Other
36.851028,10.227222,6,Carthage,DTTA,TS04725,49,Civilian/Public
36.822224,7.809167,4,El Mellah,DABB,AG10462,49,Civilian/Public
36.818333,11.97,193,Pantelleria,LICG,IT84808,8,Military
36.795139,5.873611,10,Jijel,DAAV,AG87342,999,Other
36.721111,9.943611,33,Bordj El Amri,DTTI,TS06960,999,Other
36.710556,5.07,6,Soummam,DAAE,AG03193,999,Other
36.690971,3.214889,24,Houari Boumediene,DAAG,AG64680,22,Joint Military/Civilian
36.545834,2.876111,102,Boufarik,DAAK,AG17978,8,Military
36.503613,2.814167,163,Blida,DAAB,AG83343,8,Military
