FEATURE2,NAME,POP_2010,LATITUDE,LONGITUDE
-999,Coalwood,-999,45.7280545,-105.5905458
-999,Epsie,-999,45.4916608,-105.6511057
-999,Moorhead,-999,45.0649871,-105.8711222
-999,Olive,-999,45.5505503,-105.528047
-999,Powderville,-999,45.758887,-105.1152542
-999,Otter,-999,45.207771,-106.2016892
-999,Sonnette,-999,45.413049,-105.8313892
County Seat,Broadus,468,45.4438809,-105.4074903
-999,Avon,111,46.5971546,-112.601977
-999,Elliston,219,46.5621548,-112.4308555
-999,Garrison,96,46.5232622,-112.81171
-999,Ovando,81,47.0202162,-113.1331154
-999,Goldcreek,-999,46.5865968,-112.928661
-999,Helmville,-999,46.8666032,-112.9611639
-999,Blossburg,-999,46.6327124,-112.3219605
County Seat,Deer Lodge,3111,46.3957608,-112.7300383
-999,Fallon,164,46.8355635,-105.1194222
-999,Mildred,-999,46.6758402,-104.9599695
County Seat,Terry,605,46.7930626,-105.3122086
-999,Corvallis,976,46.3140885,-114.1128734
-999,Florence,765,46.6315897,-114.0789959
-999,Victor,745,46.4165889,-114.1501005
-999,Darby,720,46.0226982,-114.1781429
-999,Pinesdale,917,46.3293663,-114.2167649
-999,Stevensville,1809,46.5099225,-114.0931588
-999,Charlos Heights,120,46.1263099,-114.1778683
-999,Conner,216,45.9307534,-114.1245288
-999,Sula,37,45.8365869,-113.9817463
-999,Grantsdale,-999,46.2035325,-114.1417588
County Seat,Hamilton,4348,46.2468659,-114.1603717
-999,Fairview,840,47.8564075,-104.0449328
-999,Crane,102,47.5758493,-104.2624401
-999,Enid,-999,47.6955715,-104.7796858
-999,Lambert,-999,47.6836271,-104.6207901
-999,Nohly,-999,47.9955755,-104.0918805
-999,Savage,-999,47.4536265,-104.342721
-999,Sioux Pass,-999,47.9225182,-104.3257791
-999,Andes,-999,47.9555738,-104.5488444
County Seat,Sidney,5191,47.7166836,-104.1563253
-999,Poplar,810,48.1130741,-105.1983149
-999,Bainville,208,48.1400208,-104.2227202
-999,Brockton,255,48.1514085,-104.9169151
-999,Culbertson,714,48.1444646,-104.5168996
-999,Froid,185,48.3344669,-104.4960658
-999,Volt,-999,48.3883555,-105.7188926
-999,McCabe,-999,48.2436327,-104.3777272
County Seat,Wolf Point,2621,48.0905736,-105.6405566
-999,Ashland,824,45.5944444,-106.2708477
-999,Birney,137,45.321657,-106.515037
-999,Lame Deer,2052,45.6230476,-106.6666984
-999,Colstrip,2214,45.8841618,-106.6236368
-999,Rosebud,111,46.2744424,-106.444746
-999,Angela,-999,46.730002,-106.2011344
-999,Hathaway,-999,46.2761115,-106.1966799
-999,Ingomar,-999,46.5766539,-107.3723005
-999,Rock Springs,-999,46.8169458,-106.2469712
-999,Sumatra,-999,46.6183191,-107.5511999
-999,Vananda,-999,46.3919342,-107.002276
-999,Brandenberg,-999,45.8161126,-106.2330637
County Seat,Forsyth,1777,46.2663835,-106.6778124
-999,Lonepine,162,47.702994,-114.6367966
-999,Heron,282,48.0588181,-115.9571163
-999,Dixon,203,47.3165963,-114.3140075
-999,Niarada,27,47.814108,-114.6045741
-999,Noxon,218,47.9960423,-115.7815621
-999,Old Agency,107,47.3288188,-114.2959517
-999,Paradise,163,47.3893776,-114.8020757
-999,Trout Creek,242,47.8368781,-115.5982263
-999,Hot Springs,544,47.6091041,-114.6687414
-999,Plains,1048,47.4602135,-114.8829119
-999,Belknap,158,47.6621568,-115.4087694
-999,Camas,58,47.6179931,-114.6579078
-999,Weeksville,83,47.5229931,-114.9940267
-999,Perma,-999,47.3638207,-114.5848485
-999,Snider,-999,47.6038252,-115.2184819
-999,White Pine,-999,47.7435453,-115.4823877
County Seat,Thompson Falls,1313,47.5971572,-115.3443198
-999,Antelope,51,48.6897494,-104.4582863
-999,Reserve,23,48.6055818,-104.4596753
-999,Medicine Lake,225,48.5014138,-104.5046771
-999,Outlook,47,48.8875277,-104.7777447
-999,Westby,168,48.8703053,-104.0518797
-999,Coalridge,-999,48.6983602,-104.1891077
-999,Dagmar,-999,48.5833591,-104.1982751
-999,Homestead,-999,48.4211347,-104.5388451
-999,Raymond,-999,48.8764172,-104.5802366
-999,Redstone,-999,48.8216926,-104.9441394
